date,10cm,20cm,30cm,40cm,50cm,60cm
2020-07-22 12:00:00+00:00,42.268,43.107,40.578,38.173,44.849,43.304
2020-07-22 12:30:00+00:00,42.537,43.192,40.69,38.297,44.906,43.338
2020-07-22 13:00:00+00:00,42.749,43.297,40.76,38.379,44.981,43.44
2020-07-22 13:30:00+00:00,42.864,43.259,40.725,38.386,45.009,43.525
2020-07-22 14:00:00+00:00,42.921,43.249,40.697,38.386,45.009,43.543
2020-07-22 14:30:00+00:00,42.897,43.259,40.683,38.358,45.0,43.56
2020-07-22 15:00:00+00:00,42.921,43.202,40.683,38.352,44.99,43.543
2020-07-22 15:30:00+00:00,42.864,43.23,40.69,38.352,44.981,43.543
2020-07-22 16:00:00+00:00,42.889,43.24,40.655,38.338,44.971,43.56
2020-07-22 16:30:00+00:00,42.864,43.249,40.648,38.345,44.971,43.551
2020-07-22 17:00:00+00:00,42.889,43.259,40.648,38.331,44.962,43.56
2020-07-22 17:30:00+00:00,42.823,43.202,40.655,38.331,44.962,43.551
2020-07-22 18:00:00+00:00,42.88,43.221,40.655,38.324,44.953,43.551
2020-07-22 18:30:00+00:00,42.839,43.192,40.606,38.331,44.953,43.551
2020-07-22 19:00:00+00:00,42.807,43.259,40.62,38.338,44.953,43.551
2020-07-22 19:30:00+00:00,42.79,43.288,40.627,38.345,44.953,43.534
2020-07-22 20:00:00+00:00,42.774,43.259,40.627,38.317,44.953,43.551
2020-07-22 20:30:00+00:00,42.757,43.297,40.62,38.297,44.953,43.543
2020-07-22 21:00:00+00:00,42.717,43.24,40.62,38.303,44.953,43.551
2020-07-22 21:30:00+00:00,42.684,43.268,40.599,38.31,44.953,43.543
2020-07-22 22:00:00+00:00,42.667,43.297,40.585,38.283,44.962,43.543
2020-07-22 22:30:00+00:00,42.61,43.278,40.571,38.297,44.962,43.543
2020-07-22 23:00:00+00:00,42.659,43.288,40.571,38.31,44.962,43.543
2020-07-22 23:30:00+00:00,42.676,43.326,40.592,38.303,44.962,43.543
2020-07-23 00:00:00+00:00,42.627,43.316,40.606,38.352,44.971,43.543
2020-07-23 00:30:00+00:00,42.676,43.364,40.606,38.331,44.981,43.551
2020-07-23 01:00:00+00:00,42.667,43.364,40.592,38.338,44.981,43.56
2020-07-23 01:30:00+00:00,42.659,43.383,40.571,38.345,44.99,43.56
2020-07-23 02:00:00+00:00,42.618,43.307,40.578,38.331,44.99,43.543
2020-07-23 02:30:00+00:00,42.635,43.354,40.592,38.365,44.99,43.56
2020-07-23 03:00:00+00:00,42.61,43.316,40.578,38.393,44.99,43.56
2020-07-23 03:30:00+00:00,42.594,43.383,40.55,38.365,45.0,43.56
2020-07-23 04:00:00+00:00,42.602,43.345,40.522,38.379,44.99,43.56
2020-07-23 04:30:00+00:00,42.618,43.402,40.55,38.372,44.99,43.56
2020-07-23 05:00:00+00:00,42.569,43.307,40.55,38.358,44.99,43.543
2020-07-23 05:30:00+00:00,42.578,43.335,40.529,38.372,44.99,43.56
2020-07-23 06:00:00+00:00,42.561,43.335,40.508,38.365,44.99,43.551
2020-07-23 06:30:00+00:00,42.594,43.392,40.536,38.345,44.981,43.534
2020-07-23 07:00:00+00:00,42.537,43.297,40.515,38.345,44.981,43.551
2020-07-23 07:30:00+00:00,42.602,43.335,40.494,38.331,44.981,43.543
2020-07-23 08:00:00+00:00,42.553,43.297,40.459,38.324,44.971,43.543
2020-07-23 08:30:00+00:00,42.569,43.307,40.432,38.324,44.971,43.525
2020-07-23 09:00:00+00:00,42.594,43.297,40.445,38.338,44.962,43.525
