date,10cm,20cm,30cm,40cm,50cm,60cm
2023-01-11 11:30:00+00:00,13.058,22.894,18.773,19.126,17.54,17.373
2023-01-11 12:00:00+00:00,13.115,22.912,18.773,19.135,17.536,17.373
2023-01-11 12:30:00+00:00,13.14,22.92,18.773,19.13,17.536,17.377
2023-01-11 13:00:00+00:00,13.158,22.925,18.77,19.13,17.532,17.38
2023-01-11 13:30:00+00:00,13.168,22.942,18.773,19.126,17.527,17.373
2023-01-11 14:00:00+00:00,13.197,22.942,18.777,19.126,17.54,17.373
2023-01-11 14:30:00+00:00,13.218,22.965,18.777,19.122,17.54,17.373
2023-01-11 15:00:00+00:00,13.218,22.96,18.785,19.122,17.527,17.377
2023-01-11 15:30:00+00:00,13.24,22.969,18.785,19.122,17.523,17.377
2023-01-11 16:00:00+00:00,13.232,22.987,18.789,19.113,17.523,17.377
2023-01-11 16:30:00+00:00,13.215,23.004,18.797,19.118,17.523,17.377
2023-01-11 17:00:00+00:00,13.186,23.004,18.804,19.113,17.523,17.38
2023-01-11 17:30:00+00:00,13.161,23.004,18.816,19.118,17.532,17.377
2023-01-11 18:00:00+00:00,13.125,23.022,18.812,19.113,17.532,17.377
2023-01-11 18:30:00+00:00,13.09,23.013,18.816,19.113,17.527,17.377
2023-01-11 19:00:00+00:00,13.072,23.018,18.82,19.122,17.532,17.377
2023-01-11 19:30:00+00:00,13.047,23.018,18.816,19.118,17.532,17.377
2023-01-11 20:00:00+00:00,13.016,23.009,18.823,19.13,17.532,17.377
2023-01-11 20:30:00+00:00,13.012,23.013,18.827,19.118,17.527,17.377
2023-01-11 21:00:00+00:00,12.998,23.022,18.831,19.118,17.532,17.377
2023-01-11 21:30:00+00:00,12.98,23.022,18.835,19.118,17.532,17.373
2023-01-11 22:00:00+00:00,12.963,23.004,18.835,19.113,17.536,17.377
2023-01-11 22:30:00+00:00,12.956,22.996,18.839,19.118,17.527,17.38
2023-01-11 23:00:00+00:00,12.952,23.004,18.835,19.126,17.536,17.377
2023-01-11 23:30:00+00:00,12.941,22.991,18.835,19.126,17.532,17.38
2023-01-12 00:00:00+00:00,12.934,22.991,18.839,19.13,17.527,17.377
2023-01-12 00:30:00+00:00,12.924,22.987,18.835,19.126,17.532,17.377
2023-01-12 01:00:00+00:00,12.913,22.973,18.835,19.122,17.54,17.38
2023-01-12 01:30:00+00:00,12.906,22.969,18.835,19.13,17.544,17.38
2023-01-12 02:00:00+00:00,12.892,22.969,18.835,19.13,17.536,17.377
2023-01-12 02:30:00+00:00,12.875,22.973,18.831,19.126,17.532,17.384
2023-01-12 03:00:00+00:00,12.875,22.969,18.831,19.126,17.536,17.38
2023-01-12 03:30:00+00:00,12.853,22.96,18.823,19.126,17.536,17.377
